date,content
2026-04-10,"■ 주요 뉴스 : 미국 트럼프, 이란과의 협상 타결 낙관. 이스라엘과 레바논은 직접 대화 합의 ○ 미국 2월 PCE 물가지수, 상승세 강화. 4/4분기 GDP(확정치)는 하향 조정 ○ 독일 2월 산업생산, 예상치 하회. SP는 필리핀 신용등급 전망 하향 조정 ○ 일본은행 총재, 실질금리는 마이너스 수준. 3월 소비자태도지수는 큰 폭 하락 ■ 국제금융시장 : 미국은 이스라엘의 중동전쟁 휴전 협상 합류 가능성 등이 영향 주가 상승[+0.6%], 달러화 약세[-0.3%], 금리 하락[-2bp] ○ 주가 : 미국 SP500지수는 장초반 하락 후 휴전 관련 낙관적 전망 등으로 상승 전환 유로 Stoxx600지수는 이스라엘의 레바논 공격에 따른 불안 등으로 0.2% 하락 ○ 환율 : 달러화지수는 중동전쟁 휴전 이어질 수 있다는 기대 등으로 하락 유로화는 0.3% 상승, 엔화 가치는 0.3% 하락 ○ 금리 : 미국 10년물 국채금리는 인플레이션 우려 완화 등이 반영 독일은 브렌트유 가격의 일시 급등 등으로 4bp 상승 ※ 뉴욕 1M NDF 종가 1474.4원(스왑포인트 감안 시 1475.6원, 0.46% 하락). 한국 CDS 강보합"
2026-04-09,"■ 주요 뉴스: 미국, 11일부터 이란과 종전 협상 시작. 협상 관련 불확실성 우려도 제기 ○ FOMC 의사록, 인플레이션 경계. 금리는 양방향(인상과 인하 모두 가능) 대응 논의 ○ ECB 주요 인사, 중동전쟁 영향 우려. 독일 2월 제조업 수주는 예상치 하회 ○ 중국 시진핑, 서비스업 중요성 강조. 주요 IB의 인민은행 금리인하 전망은 후퇴 ■ 국제금융시장: 미국은 이란과의 휴전 합의 및 종전 기대 확산 등으로 위험자산 선호 강화 주가 상승[+2.5%], 달러화 약세[-0.9%], 금리 약보합[-0.0bp] ○ 주가: 미국 SP500지수는 중동 리스크 축소, 반도체 관련주 매수 강화 등으로 상승 유로 Stoxx600지수는 여행레저건설 관련주 강세 등으로 3.9% 상승 ○ 환율: 달러화지수는 전쟁發 지정학적 위험 감소, 안전자산 선호 약화로 하락 유로화와 엔화 가치는 각각 0.6%, 0.7% 상승 ○ 금리: 미국 10년물 국채금리는 휴전 불구 이와 관련된 불확실성 등으로 약보합 독일은 유가 급락에 따른 ECB 금리인상 전망 후퇴 등으로 14bp 하락 ※ 뉴욕 1M NDF 종가 1478.8원(스왑포인트 감안 시 1480.2원, 0.65% 상승). 한국 CDS 하락"
2026-04-08,"■ 주요 뉴스 : 미국 트럼프, 2주간 이란 공격 유예. 이란도 2주 휴전안 긍정적으로 검토 ○ 연준 주요 인사, 인플레이션 경계. 뉴욕 연은 조사에서 인플레이션 기대 상승 ○ ECB 주요 인사, 4월 금리인상 가능. 유로존 4월 투자자신뢰는 큰 폭 하락 ○ 일본 2월 실질소비, 경기 불확실성 등으로 3개월 연속 감소. 금리동결 의견 제기 ■ 국제금융시장 : 미국은 중동전쟁 협상 경계감 및 긴급 중재안 수용 등이 영향 주가 상승[+0.1%], 달러화 약세[-0.3%], 금리 하락[-4bp] ○ 주가 : 미국 SP500지수는 이란과의 협상 타결 기대 등으로 상승 유로 Stoxx600지수는 중동전쟁 합의 전 위험 회피 등으로 1.0% 하락 ○ 환율 : 달러화지수는 중재안 수용 전 중동전쟁 협상 기대 등으로 하락 마감 유로화는 0.5% 상승, 엔화 가치는 강보합 ○ 금리 : 미국 10년물 국채금리는 장마감 앞두고 유가 움직임 반영하며 하락 독일은 중동전쟁 합의 이전 불확실성 부각되며 9bp 상승 ※ 뉴욕 1M NDF 종가 1495.0원(스왑포인트 감안 시 1496.3원, 0.52% 하락). 한국 CDS 하락"
2026-04-07,"■ 주요 뉴스: 미국 트럼프, 휴전 합의 불발 시 이란의 교량발전소 파괴. 이란은 합의 거부 ○ 미국 3월 ISM 서비스 PMI, 예상치 하회. 가격지수는 중동전쟁 영향으로 급등 ○ 연준 주요 인사, 물가가 고용보다 더욱 심각한 문제. 금융시스템은 대체로 양호 ○ EU, 에너지 보조금 중단 요구. ECB 위원은 통화정책의 에너지 가격 반영 강조 ■ 국제금융시장: 미국은 중동전쟁 일시 휴전 기대 등으로 위험자산 선호 강화 주가 상승[+0.4%], 달러화 약보합[-0.03%], 금리 하락[-1bp] ○ 주가: 미국 SP500지수는 종전 낙관론 우세 속 반도체 관련주 강세 이어지며 상승 유로 Stoxx600지수는 부활절 연휴(Easter Monday)로 휴장 ○ 환율: 달러화지수는 종전 협상 기대와 우려 교차하는 가운데 약보합으로 마감 유로화 가치는 0.2% 상승, 엔화 가치는 약보합 ○ 금리: 미국 10년물 국채금리는 예상치 하회한 3월 ISM 서비스 PMI 등이 원인 독일은 부활절 연휴로 휴장 ※ 뉴욕 1M NDF 종가 1508.1원(스왑포인트 감안 시 1509.4원, 0.21% 상승). 한국 CDS 약보합"
2026-04-06,"■ 주요 뉴스 : 미국 트럼프, 협상 타결 가능성 큰 편. 협상 최후통첩 시한은 하루 연장 ○ 미국 3월 소비자물가, 전월비 큰 폭 상승 예상. 금리인하 기대 약화될 소지 ○ ECB 주요 인사, 다음 회의에서 쟁점은 금리인상 여부. 에너지 위기도 경고 ○ 일본, 원유 확보에 총력. 호르무즈 대체 경로 개발 및 비축유 방출 등을 구상 ■ 국제금융시장(주간) : 미국은 중동전쟁 불확실성, 3월 고용보고서 등이 영향 주가 상승[+3.4%], 달러화 강보합[+0.04%], 금리 하락[-9bp] ○ 주가 : 미국 SP500지수는 일부 종전 기대, 반도체 중심 기술주 강세 등으로 상승 유로 Stoxx600지수는 미국 증시 영향 등으로 3.7% 상승 ○ 환율 : 달러화지수는 안전자산 선호 강화 및 약화의 반복 속에서 상승 마감 유로화와 엔화 가치는 각각 0.1%, 0.4% 상승 ○ 금리 : 미국 10년물 국채 금리는 파월 의장의 금리인상 신중 입장 등으로 하락 독일은 ECB의 금리인상 전망 후퇴 등으로 10bp 하락 ※ 원/달러 환율(주간) 0.25% 하락, 한국 CDS 약보합"
2026-04-04,"■ 주요 뉴스: 미국 3월 비농업고용, 예상보다 큰 폭으로 반등 ○ 중동전쟁, 이란의 공격 강화 속 호르무즈 해협 관련 UN 안보리 결의안 표결 연기 ○ 트럼프 대통령, 의회에 $2.2조 규모의 `27회계연도 예산안 제출 ○ 유럽 주요국, 에너지비용 부담 경감 조치 시행 ■ 국제금융시장: 미국은 중동전쟁 불확실성 속 3월 고용지표의 예상 외 호조 등이 영향 주가 휴장[-], 달러화 강세[+0.2%], 금리 상승[+4bp] ○ 주가: 미국 SP500은 성금요일 휴일로 휴장 유로 Stoxx600지수는 성금요일 휴일로 휴장 ○ 환율: 달러화지수는 연준 금리인하 기대 약화, 안전자산 수요 등으로 상승 엔화 가치는 0.04%, 유로화 가치는 0.2% ○ 금리: 미국 10년물 국채금리는 견조한 3월 고용지표로 상승 독일 10년물 국채금리는 성금요일 휴일로 휴장 ※ 뉴욕 1M NDF 종가 1510.01원(스왑포인트 감안 시 1511.41원, 0.4% 상승). 한국 CDS 상승"
2026-04-03,"■ 주요 뉴스: 미국 트럼프, 향후 2~3주 이란 강하게 타격. 이란도 파괴적 공격의 대응 강조 ○ 연준 주요 인사. 인플레이션 위험 경계. 주간 신규실업급여 청구는 감소 ○ ECB 주요 인사, 유럽 경제는 예상보다 부진할 가능성. 금융안정에 주의 요구 ○ WTI 가격, 중동불안 심화 우려 등으로 급등. 배럴당 150달러 전망도 제기 ■ 국제금융시장: 미국은 트럼프의 對이란 강경 발언, 호르무즈 통행 가능성 등이 영향 주가 상승[+0.1%], 달러화 강세[+0.3%], 금리 하락[-1bp] ○ 주가: 미국 SP500지수는 장초반 급락했으나 호르무즈 개방 기대 등으로 반등 마감 유로 Stoxx600지수는 중동지역 긴장 고조 등으로 0.2% 하락 ○ 환율: 달러화지수는 중동전쟁 격화 가능성 등으로 상승 유로화와 엔화 가치는 각각 0.4%, 0.5% 하락 ○ 금리: 미국 10년물 국채금리는 3월 고용보고서 관련 경게감 등으로 하락 독일은 유가 급등에 따른 인플레이션 우려 등으로 1bp 상승 ※ 뉴욕 1M NDF 종가 1509.2원(스왑포인트 감안 시 1510.6원, 0.6% 하락). 한국 CDS 강보합"
2026-04-02,"■ 주요 뉴스 : 미국 트럼프, 이란이 휴전 요청. 이란은 즉각 부인했으나 유화적 신호도 발신 ○ 연준 주요 인사, 현행 통화정책은 적절. 중동發 高유가에 따른 혼란은 단기 현상 ○ 미국 2월 소매판매, 예상치 상회. 3월 ISM 제조업 PMI는?22년 5월 이후 최고 ○ 유로존 3월 제조업 PMI(확정치), 큰 폭 상승. ECB 돌렌츠 위원은 인플레이션 경계 ■ 국제금융시장 : 미국은 중동전쟁 종전 기대, 유가 하락 등이 영향 주가 상승[+0.7%], 달러화 약세[-0.4%], 금리 강보합[+0bp] ○ 주가 : 미국 SP500지수는 종전 기대 지속, 반도체 중심 기술주 강세 등으로 상승 유로 Stoxx600지수는 미국 증시 영향 등으로 2.5% 상승 ○ 환율 : 달러화지수는 안전자산 선호 약화 등으로 하락 유로화는 0.3% 상승, 엔화 가치는 0.1% 하락 ○ 금리 : 미국 10년물 국채금리는 인플레이션 우려 완화와 트럼프 연설 경계감 등이 상충 독일은 ECB의 금리인상 전망 후퇴 등으로 2bp 하락 ※ 뉴욕 1M NDF 종가 1515.5원(스왑포인트 감안 시 1517.0원, 1.05% 상승). 한국 CDS 하락"
2026-04-01,"■ 주요 뉴스: 미국 트럼프, 2~3주 이내에 이란에서 철수. 이란 대통령도 종전 준비를 언급 ○ 미국 2월 구인건수, 전월비 큰 폭 감소. 3월 컨퍼런스보드 소비자신뢰는 상승 ○ 유로존 3월 소비자물가, 상승세 강화. ECB 뮐러 위원은 4월 금리인상 가능 발언 ○ 중국 3월 제조업 PMI, 1년 만에 최고치. 인민은행은 적절한 통화완화 지속 강조 ■ 국제금융시장: 미국은 중동전쟁 종전 기대 고조 등으로 위험자산 선호 강화 주가 상승[+2.9%], 달러화 약세[-0.6%], 금리 하락[-3bp] ○ 주가: 미국 SP500지수는 트럼프의 이란 철수 발언, 소비자심리 호조 등으로 큰 폭 상승 유로 Stoxx600지수는 금융 및 자동차 관련주 강세 등으로 0.4% 상승 ○ 환율: 달러화지수는 지정학적 위험 감소, 안전자산 선호 약화 등으로 하락 유로화와 엔화 가치는 각각 0.8%, 0.6% 상승 ○ 금리: 미국 10년물 국채금리는 유가 하락에 따른 인플레이션 우려 완화 등이 반영 독일은 미국 국채시장 영향 등으로 3bp 하락 ※ 뉴욕 1M NDF 종가 1505.3원(스왑포인트 감안 시 1506.7원, 1.53% 하락). 한국 CDS 하락"
2026-03-31,"■ 주요 뉴스 : 미국 트럼프, 합의 실패하면 하르그섬발전소 폭파. 이란은 협상 참여 부인 ○ 연준 파월 의장, 장기 인플레이션 기대 안정적. 중동전쟁 영향은 아직 불확실 ○ ECB 주요 인사, 인플레이션 변화에 대응. 독일 3월 소비자물가 큰 폭 상승 ○ 일본은행 총재, 환율이 경제물가에 큰 영향. 장기금리 안정 위해 노력할 방침 ■ 국제금융시장 : 미국은 중동전쟁 불안, 파월 의장의 발언 등이 영향 주가 하락[-0.4%], 달러화 강세[+0.3%], 금리 하락[-8bp] ○ 주가 : 미국 SP500지수는 장초반 상승했으나 확전 우려 부각 등으로 하락 마감 유로 Stoxx600지수는 저가매수 유입, 유틸리티 관련주 강세 등으로 0.9% 상승 ○ 환율 : 달러화지수는 유가상승에 따른 안전자산 선호 등으로 상승 유로화는 0.4% 하락, 엔화 가치는 0.4% 상승 ○ 금리 : 미국 10년물 국채금리는 파월 의장의 발언 영향 등으로 하락 독일은 ECB의 경기 둔화 우려에 따른 금리인상 전망 후퇴 등으로 6bp 하락 ※ 뉴욕 1M NDF 종가 1515.5원(스왑포인트 감안 시 1516.8원, 0.08% 상승). 한국 CDS 상승"
